# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
7.30297887e+02	4.20794365e-07	4.79260202e-05	2.62712474e-04
7.31812318e+02	4.09550310e-07	4.74236551e-05	2.60280331e-04
7.33329889e+02	3.98282938e-07	4.69202483e-05	2.57843145e-04
7.34850608e+02	3.86992201e-07	4.64157976e-05	2.55400904e-04
7.36374479e+02	3.75678050e-07	4.59103007e-05	2.52953599e-04
7.37901511e+02	3.65623338e-07	4.54037557e-05	2.50501218e-04
7.39431710e+02	3.56838415e-07	4.48961601e-05	2.48043753e-04
7.40965082e+02	3.48035275e-07	4.43875120e-05	2.45581191e-04
7.42501633e+02	3.39213879e-07	4.38778091e-05	2.43113522e-04
7.44041371e+02	3.30374190e-07	4.33670492e-05	2.40640737e-04
7.45584302e+02	3.21516171e-07	4.28552301e-05	2.38162823e-04
7.47130432e+02	3.12639782e-07	4.23423497e-05	2.35679771e-04
7.48679769e+02	3.03940471e-07	4.18351934e-05	2.33217611e-04
7.50232319e+02	2.96448314e-07	4.13695275e-05	2.30913558e-04
7.51788088e+02	2.88940620e-07	4.09028960e-05	2.28604727e-04
7.53347083e+02	2.81417358e-07	4.04352967e-05	2.26291109e-04
